id,title,description,price,availability,condition,brand,image_link,link,google_product_category
1006,MONITOR 19 HAYOM MO6001 PROMOCAO,Monitor 19 MO6001,"285,00 BRL",in stock,new,Hayom,monitor-hayom-19-mo6001.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
400772,MONITOR 21.5 PHILIPS LED FULL HD 221V8 WVA HDMI,Monitor 21.5 Full HD 221V8 WVA HDMI,"825,00 BRL",in stock,new,Philips,monitor-philips-215-fullhd-221v8.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1117,MONITOR 15.4 HAYOM MO 6006,Monitor 15.4 MO6006,"300,00 BRL",in stock,new,Hayom,monitor-hayom-154-mo6006.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1115,MONITOR 17.1 HAYOM MO6004,Monitor 17.1 MO6004,"330,00 BRL",in stock,new,Hayom,monitor-hayom-171-mo6004.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1419,GABINETE ATX HAYOM 171023,Gabinete ATX HAYOM 171023,"172,00 BRL",in stock,new,Hayom,gabinete-hayom-171023.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402663,GABINETE ATX HAYOM 171050,Gabinete ATX HAYOM 171050,"172,00 BRL",in stock,new,Hayom,gabinete-hayom-171050.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1553,GABINETE GAMER BRANCO HAYOM 1791,Gabinete Gamer Branco HAYOM 1791,"329,00 BRL",in stock,new,Hayom,gabinete-gamer-branco-hayom-1791.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402664,GABINETE GAMER HAYOM GB171049,Gabinete Gamer HAYOM GB171049,"238,00 BRL",in stock,new,Hayom,gabinete-gamer-hayom-gb171049.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1868,GABINETE GAMER HAYOM AQUARIO 3 FANS GB1787,Gabinete Gamer HAYOM Aquario 3 Fans GB1787,"172,00 BRL",in stock,new,Hayom,gabinete-gamer-hayom-aquario-gb1787.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1927,GABINETE GAMER HAYOM BRANCO GB1799,Gabinete Gamer HAYOM Branco GB1799,"390,00 BRL",in stock,new,Hayom,gabinete-gamer-hayom-branco-gb1799.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1555,GABINETE GAMER HAYOM C 3 FANS GB1769,Gabinete Gamer HAYOM C 3 Fans GB1769,"272,00 BRL",in stock,new,Hayom,gabinete-gamer-hayom-c-3fans-gb1769.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1947,GABINETE GAMER HAYOM PRETO GB1798 3 COOLER,Gabinete Gamer HAYOM Preto GB1798 3 Cooler,"272,00 BRL",in stock,new,Hayom,gabinete-gamer-hayom-preto-gb1798-3cooler.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
401821,GABINETE GAMER HAYOM VIDRO GB1701,Gabinete Gamer HAYOM Vidro GB1701,"440,00 BRL",in stock,new,Hayom,gabinete-gamer-hayom-vidro-gb1701.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402665,GABINETE GAMER PRETO HAYOM 171090,Gabinete Gamer Preto HAYOM 171090,"345,00 BRL",in stock,new,Hayom,gabinete-gamer-preto-hayom-171090.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1742,GABINETE HAYOM FONTE S/CABO GB1751,Gabinete HAYOM Fonte s/cabo GB1751,"135,00 BRL",in stock,new,Hayom,gabinete-hayom-fonte-scabo-gb1751.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1554,GABINETE GAMER GB1792,Gabinete Gamer GB1792,"240,00 BRL",in stock,new,Hayom,gabinete-hayom-gb1792.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1947,GABINETE GAMER MID TOWER C/3 FANS HAYOM GB1789,Gabinete Gamer Mid Tower com 3 Fans Hayom GB1789,"372,00 BRL",in stock,new,Hayom,gabinete-hayom-gb1789.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
400396,MOUSE MULTILASER SEM FIO PRETO MO307,Mouse sem fio preto MO307,"22,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo307.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402226,MOUSE MULTILASER PRETO USB MO255,Mouse USB preto MO255,"15,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo255.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1939,MOUSE MULTILASER SEM FIO RECARREGÁVEL 2.4 GHZ MO277,Mouse recarregável sem fio MO277,"70,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo277.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1938,MOUSE MULTILASER S/FIO BLUETOOTH M5750 MO403,Mouse Bluetooth sem fio MO403,"90,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo403.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1536,ROTEADOR WR TP-LINK MESH AC1200 EC220-G5,Roteador Mesh AC1200 EC220-G5,"201,00 BRL",in stock,new,TP-Link,roteador-tplink-ec220g5.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1352,ROTEADOR WR TP-LINK DUAL BAND AC1350 EC230-G1,Roteador Dual Band AC1350 EC230-G1,"260,00 BRL",in stock,new,TP-Link,roteador-tplink-ec230g1.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1879,ROTEADOR WRE MERCUSYS AC1200 D BAND GIGABIT MR30G,Roteador AC1200 Dual Band MR30G,"199,00 BRL",in stock,new,Mercusys,roteador-mercusys-mr30g.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1881,ROTEADOR TP-LINK AC1350 C60 ARCHER DUAL BAND,Roteador Dual Band AC1350 C60 Archer,"209,00 BRL",in stock,new,TP-Link,roteador-tplink-c60.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1088,ROTEADOR WR TP LINK AX1500 DUAL BAND AX12 WIFI 6,Roteador AX1500 Dual Band AX12 WiFi 6,"280,00 BRL",in stock,new,TP-Link,roteador-tplink-ax12.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402579,ROTEADOR WR TP LINK AX1800 DUAL BAND AX23 WIFI 6,Roteador AX1800 Dual Band AX23 WiFi 6,"470,00 BRL",in stock,new,TP-Link,roteador-tplink-ax23.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1562,UBIQUITI AP UNIFI AC U6-PRO 4X4 S/FONTE,Access Point UniFi AC U6-Pro 4x4,"1775,00 BRL",in stock,new,Ubiquiti,ap-ubiquiti-u6pro.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1072,UBIQUITI AP UNIFI UAP-AC-LITE-BR,Access Point UniFi UAP-AC-Lite,"890,00 BRL",in stock,new,Ubiquiti,ap-ubiquiti-uapaclite.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1559,REPETIDOR WIRELESS TPLINK DUAL BAND AC750 RE200,Repetidor Dual Band AC750 RE200,"189,00 BRL",in stock,new,TP-Link,repetidor-tplink-re200.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1291,ADAPTADOR USB REDE RJ45 3.0,Adaptador USB RJ45 2.0,"145,00 BRL",in stock,new,Generico,adaptador-usb-rj45-empree.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1532,ADAPTADOR USB WIRELESS 600MBPS 5G,Adaptador USB Wireless 600Mbps 5G,"105,00 BRL",in stock,new,Generico,adaptador-usb-600mbps-5g.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1296,ADAPTADOR USB WIRELESS AC1300 TENDA U12,Adaptador USB Wireless AC1300 U12,"150,00 BRL",in stock,new,Tenda,adaptador-tenda-u12.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1558,ADAPTADOR USB WIRELESS AC1300 TP-LINK ARCHER T3U,Adaptador USB Wireless AC1300 T3U,"165,00 BRL",in stock,new,TP-Link,adaptador-tplink-t3u.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1560,ADAPTADOR USB WIRELESS AC1300 TP-LINK ARCHER T4U,Adaptador USB Wireless AC1300 T4U,"210,00 BRL",in stock,new,TP-Link,adaptador-tplink-t4u.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1557,ADAPTADOR USB WIRELESS TX20U PLUS TP-LINK WIFI 6,Adaptador USB TX20U Plus WiFi 6,"225,00 BRL",in stock,new,TP-Link,adaptador-tplink-tx20u.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1871,TECLADO BRIGHT PRETO USB 0014,Teclado USB preto 0014,"19,90 BRL",in stock,new,Bright,teclado-bright-usb-0014.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1867,MOUSE HAYOM OFFICER USB MU2904,Mouse USB Officer MU2904,"5,90 BRL",in stock,new,Hayom,mouse-hayom-mu2904.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1698,MOUSE GAMER FORTREX RGB CRUSADER 70526,Mouse gamer RGB Crusader 70526,"87,25 BRL",in stock,new,Fortrex,mouse-fortrex-crusader-70526.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1699,MOUSE GAMER FORTREX RGB CRUSADER BRANCO 83910,Mouse gamer RGB Crusader branco 83910,"123,71 BRL",in stock,new,Fortrex,mouse-fortrex-crusader-branco-83910.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
40123,MOUSE FORTREX GAMER USB SPIDER 2 OM-705 3200,Mouse gamer USB Spider OM-705 3200,"33,00 BRL",in stock,new,Fortrex,mouse-fortrex-spider-om705.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1900,MOUSE FORTREX USB OM1101 800DPI 62845,Mouse USB OM1101 800DPI,"9,99 BRL",in stock,new,Fortrex,mouse-fortrex-om1101.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402475,MOUSE GAMER FORTREX USB OM702 TARANTULA 2000,Mouse gamer USB OM702 Tarantula 2000,"37,74 BRL",in stock,new,Fortrex,mouse-fortrex-tarantula-om702.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
