codigo;nome;categoria;preco;qt;descricao;marca;promocao;imagem
1888;PROCESSADOR INTEL CELERON 1151 LGA1200 G5905 4MB;Processador;214,99;23;Intel Celeron G5905 LGA1200 4MB;Intel;nao;g5905.webp
1889;PROCESSADOR INTEL CELERON 1151 LGA1200 G5925 3.6GHZ;Processador;214,99;16;Intel Celeron G5925 3.6GHz LGA1200;Intel;nao;g5925.webp
1039;PROCESSADOR INTEL I3 LGA1150 4150/4160 3.4GHZ 3MB OEM;Processador;75,90;5;Intel Core i3 4150/4160 3.4GHz 3MB OEM;Intel;nao;i34150.webp
1721;PROCESSADOR INTEL I3 LGA1151 9100F 3.6GHZ 3MB 9GER;Processador;429,90;5;Intel Core i3 9100F 3.6GHz 9ª geração;Intel;nao;i39100f.webp
1891;PROCESSADOR INTEL I3 LGA1200 10100F 3.6GHZ 6MB 10ªG;Processador;499,90;28;Intel Core i3 10100F 3.6GHz 6MB 10ª geração;Intel;sim;i310100f.webp
401960;PROCESSADOR INTEL I3 LGA1200 CORE 10105 3.70GHZ 6MB;Processador;920,00;5;Intel Core i3 10105 3.7GHz 6MB;Intel;nao;i310105.webp
1830;PROCESSADOR INTEL I5 LGA1150 4570 4ªG;Processador;199,90;10;Intel Core i5 4570 4ª geração;Intel;nao;i54570.webp
1831;PROCESSADOR INTEL I5 LGA1151 8400 OEM;Processador;672,00;1;Intel Core i5 8400 OEM;Intel;nao;i58400.webp
1722;PROCESSADOR INTEL I5 LGA1151 9400F OEM;Processador;590,00;5;Intel Core i5 9400F OEM;Intel;nao;i59400f.webp
1719;PROCESSADOR INTEL I5 LGA1155 3570 3.8GHZ 6MB OEM;Processador;175,90;21;Intel Core i5 3570 3.8GHz 6MB OEM;Intel;sim;i53570.webp
1638;PROCESSADOR INTEL I5 LGA1155 3470 3.2GHZ OEM;Processador;179,90;1;Intel Core i5 3470 3.2GHz OEM;Intel;nao;i53470.webp
402467;PROCESSADOR INTEL I5 LGA1200 11400F 2.6 GHZ 12MB 11ª;Processador;1040,00;1;Intel Core i5 11400F 2.6GHz 12MB 11ª geração;Intel;nao;i511400f.webp
1774;PROCESSADOR INTEL I5 LGA1700 12400F 4.4 GHZ 12MB;Processador;905,00;3;Intel Core i5 12400F LGA1700 12ª geração;Intel;sim;i512400f.webp
1042;PROCESSADOR INTEL I5 13400 LGA1700;Processador;1634,00;2;Intel Core i5 13400 2.5GHz 20MB 13ª geração;Intel;nao;i513400.webp
1890;PROCESSADOR INTEL I5 14400 LGA1700;Processador;1699,00;3;Intel Core i5 14400 14ª geração;Intel;nao;i514400.webp
402614;PROCESSADOR INTEL I7 3770 LGA1155;Processador;432,45;1;Intel Core i7 3770 3.9GHz;Intel;nao;i73770.webp
1890;PROCESSADOR INTEL PENTIUM G5400T;Processador;399,00;4;Intel Pentium G5400T 3.1GHz;Intel;nao;g5400t.webp
