codigo;nome;categoria;preco;qt;descricao;marca;promocao;imagem
1933;HD SSD 120GB 2.5 GET;SSD;190,00;1;SSD 120GB 2.5 polegadas GET;GET;nao;ssd120get.webp
1548;HD SSD 240GB 2.5 SANDISK 530MB/S G26;SSD;425,00;1;SSD 240GB 2.5 SANDISK 530MB/s G26;SANDISK;nao;ssd240sandisk.webp
1866;HD SSD 240GB SSD1901 HAYOM;SSD;315,00;1;SSD 240GB modelo SSD1901;HAYOM;nao;ssd240hayom.webp
1482;HD SSD 240GB KINGSTON A400 SA400S37/240G;SSD;421,86;1;SSD 240GB KINGSTON A400 SA400S37/240G;KINGSTON;nao;ssd240kingston.webp
1942;HD SSD 480 GB 2.5 HAYOM;SSD;370,00;1;SSD 480GB 2.5 polegadas;HAYOM;nao;ssd480hayom.webp
1919;HD SSD 480 GB 2.5 GOTECH;SSD;410,00;1;SSD 480GB 2.5 polegadas;GOTECH;nao;ssd480gotech.webp
1713;HD SSD 480 GB 2.5 HIK SEMI MEWE;SSD;390,00;1;SSD 480GB 2.5 polegadas HIK SEMI MEWE;HIK SEMI MEWE;nao;ssd480hiksemi.webp
1483;HD SSD 480 GB 2.5 KINGSTON SA400S37;SSD;520,00;1;SSD 480GB KINGSTON SA400S37;KINGSTON;nao;ssd480kingston.webp
1062;HD SSD 960GB KINGSTON SA400S37;SSD;721,00;1;SSD 960GB KINGSTON SA400S37;KINGSTON;nao;ssd960kingston.webp
1032;NVME SSD M.2 2280 KINGSTON 1 TB NVME;SSD;1451,00;1;SSD NVME M.2 2280 1TB;KINGSTON;nao;ssd1tbnvme.webp
1033;NVME SSD M.2 2280 KINGSTON 500GB 2.5;SSD;520,00;1;SSD NVME M.2 2280 500GB 2.5 polegadas;KINGSTON;nao;ssd500nvme.webp
1853;HD M.2 2280 SSD MACROVIP SATA3 SWB 256gb;SSD;190,00;1;SSD M.2 2280 SATA3 SWB 256GB;MACROVIP;nao;ssd256macrovip.webp
1054;HD SSD 256GB 2.5 FNX GAMER;SSD;320,00;1;SSD 256GB 2.5 polegadas FNX GAMER;FNX;nao;ssd256fnx.webp
